"Year","Beach ID","Beach Name","BeachDescription","State Code","County","WaterbodyName","WaterbodyType","Beach Status","Beach Access","Beach Owner","Reported","Tier"
"2017","MI000348","Harrisville State Park","Harrisville","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI589651","Negwegon State Park","Alcona County","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI589651","Negwegon State Park","Alcona County","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI556458","Point Rd. Beach","Point Rd. end Beach","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI556458","Point Rd. Beach","Point Rd. end Beach","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI524922","Private Shoreline Beach-Harrisville","Private stretch in the City of Harrisville","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI524922","Private Shoreline Beach-Harrisville","Private stretch in the City of Harrisville","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI421192","Private Shoreline Beach-North of Alcona","Private stretch between Huron National Forest North and South","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI421192","Private Shoreline Beach-North of Alcona","Private stretch between Huron National Forest North and South","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI493600","Private Shoreline Beach-North of Black River","Private stretch north of the Black River","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI493600","Private Shoreline Beach-North of Black River","Private stretch north of the Black River","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI561470","Private Shoreline Beach-North of Harrisville","Private stretch north of Harrisville City","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI561470","Private Shoreline Beach-North of Harrisville","Private stretch north of Harrisville City","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI185982","Private Shoreline Beach-South of Alcona","Private stretch south of Alcona City","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI185982","Private Shoreline Beach-South of Alcona","Private stretch south of Alcona City","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI664059","Private Shoreline Beach-South of Sturgeon Point","Private Stretch south of Sturgeon Point","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI664059","Private Shoreline Beach-South of Sturgeon Point","Private Stretch south of Sturgeon Point","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI635693","Private Shoreline Beach-Southern County Border","Private stretch on southern border of Alcona ounty near Cedar Lake","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI635693","Private Shoreline Beach-Southern County Border","Private stretch on southern border of Alcona ounty near Cedar Lake","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI365363","Private Shoreline Beach-Village of Greenbush","Private stretch between Harrisville State Park and Greenbush Township","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI365363","Private Shoreline Beach-Village of Greenbush","Private stretch between Harrisville State Park and Greenbush Township","MI","ALCONA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI156018","Public Shoreline Beach-Huron National Forest North","Kuron National Forest stretch northern area. South of Black River","MI","ALCONA","Lake Huron","Still Water","Historical","Public","Public","N","3"
"2017","MI156018","Public Shoreline Beach-Huron National Forest North","Kuron National Forest stretch northern area. South of Black River","MI","ALCONA","Lake Huron","Still Water","Historical","Public","Public","N","3"
"2018","MI732544","Public Shoreline Beach-Huron National Forest South","Huron National Forest southern area. North of Alcona","MI","ALCONA","Lake Huron","Still Water","Historical","Public","Public","N","3"
"2017","MI732544","Public Shoreline Beach-Huron National Forest South","Huron National Forest southern area. North of Alcona","MI","ALCONA","Lake Huron","Still Water","Historical","Public","Public","N","3"
"2018","MI680454","Trask Lake Road Beach","Trask Lake Rd. end","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI680454","Trask Lake Road Beach","Trask Lake Rd. end","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI152478","Au Train Beach","Au Train Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI152478","Au Train Beach","Au Train Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI927757","Bay Furnace Recreation Area Beach","Bay Furnace Recreation Area Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI927757","Bay Furnace Recreation Area Beach","Bay Furnace Recreation Area Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI865512","Christmas Beach","Christmas Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI865512","Christmas Beach","Christmas Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI439427","Grand Marais Harbor Beach","Grand Marais Harbor Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI439427","Grand Marais Harbor Beach","Grand Marais Harbor Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI840959","Grand Marais Township Beach","Grand Marais Township Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI840959","Grand Marais Township Beach","Grand Marais Township Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI233728","Hurricane Campground Beach","Pictured Rocks National Lakeshore","MI","ALGER","Inland","Still Water","No advisory or closure","null","-","N","3"
"2017","MI233728","Hurricane Campground Beach","Pictured Rocks National Lakeshore","MI","ALGER","Inland","Still Water","No advisory or closure","null","-","N","3"
"2018","MI909175","Miners Beach","Pictured Rocks National Lakeshore","MI","ALGER","Inland","Still Water","No advisory or closure","null","-","N","3"
"2017","MI909175","Miners Beach","Pictured Rocks National Lakeshore","MI","ALGER","Inland","Still Water","No advisory or closure","null","-","N","3"
"2018","MI127303","Munising Beach","Munising Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI127303","Munising Beach","Munising Beach","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI211610","Private Shoreline Beach-Au Train Point","Private stretch south of Au Train Point","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2017","MI211610","Private Shoreline Beach-Au Train Point","Private stretch south of Au Train Point","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2018","MI287429","Private Shoreline Beach-North of Roadside Park","Private Stretch between Roadside Park and Au Train Bay Public Shoreline Beach","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2017","MI287429","Private Shoreline Beach-North of Roadside Park","Private Stretch between Roadside Park and Au Train Bay Public Shoreline Beach","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2018","MI974266","Private Shoreline Beach-Powell Point","Private Stretch north of Munisinc","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2017","MI974266","Private Shoreline Beach-Powell Point","Private Stretch north of Munisinc","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2018","MI222791","Private Shoreline Beach-South of Five Mile Point","Private Stretch between Five Mile Pt and Christmas","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2017","MI222791","Private Shoreline Beach-South of Five Mile Point","Private Stretch between Five Mile Pt and Christmas","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2018","MI334266","Private Shoreline Beach-W Co. Border- Au Train Bay","Stretch from West County Border to Au Train Beach on the Au Train Bay","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2017","MI334266","Private Shoreline Beach-W Co. Border- Au Train Bay","Stretch from West County Border to Au Train Beach on the Au Train Bay","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2018","MI712863","Private Shoreline Beach-West and East Bay area","Private Stretch on Lake Superior near East and West Bay's","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2017","MI712863","Private Shoreline Beach-West and East Bay area","Private Stretch on Lake Superior near East and West Bay's","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2018","MI154788","Public Shoreline Beach-Au Train Bay","Public stretch on the east side of Au Train Bay","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI154788","Public Shoreline Beach-Au Train Bay","Public stretch on the east side of Au Train Bay","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI379388","Public Shoreline Beach-Au Train to Five Mile Pts","Public stretch from Au Train Point to Five Mile Point","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI379388","Public Shoreline Beach-Au Train to Five Mile Pts","Public stretch from Au Train Point to Five Mile Point","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI111241","Public Shoreline Beach-East County Border area","Lake Superior State Forest stretch on the east side of County","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI111241","Public Shoreline Beach-East County Border area","Lake Superior State Forest stretch on the east side of County","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI978810","Public Shoreline Beach-Grand Sable Dunes","Stretch west of Grand Marais to Au Sable Point","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI978810","Public Shoreline Beach-Grand Sable Dunes","Stretch west of Grand Marais to Au Sable Point","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI678516","Public Shoreline-Grand Portal Point","Pictured Rock National Lakeshore","MI","ALGER","Inland","Still Water","Historical","null","-","N","3"
"2017","MI678516","Public Shoreline-Grand Portal Point","Pictured Rock National Lakeshore","MI","ALGER","Inland","Still Water","Historical","null","-","N","3"
"2018","MI562222","Public Shoreline-Sand Point to Miners Castle Point","Pictured Rock National Lakeshore","MI","ALGER","Inland","Still Water","Historical","null","-","N","3"
"2017","MI562222","Public Shoreline-Sand Point to Miners Castle Point","Pictured Rock National Lakeshore","MI","ALGER","Inland","Still Water","Historical","null","-","N","3"
"2018","MI248569","Rathfoot Park Beach","MDOT park Just east of Autrain River Beach- T47N R20W Sec.29","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI248569","Rathfoot Park Beach","MDOT park Just east of Autrain River Beach- T47N R20W Sec.29","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI739173","Roadside Park","Roadside Park","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI739173","Roadside Park","Roadside Park","MI","ALGER","Lake Superior","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI566719","Sand Point","Pictured Rocks National Lakeshore","MI","ALGER","Inland","Still Water","No advisory or closure","null","-","N","2"
"2017","MI566719","Sand Point","Pictured Rocks National Lakeshore","MI","ALGER","Inland","Still Water","No advisory or closure","null","-","N","2"
"2018","MI970355","Sullivans Landing","Sullivans Landing","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2017","MI970355","Sullivans Landing","Sullivans Landing","MI","ALGER","Lake Superior","Still Water","Historical","Private","Private","N","3"
"2018","MI972362","Twelve-Mile Beach","Pictured Rocks National Lakeshore","MI","ALGER","Inland","Still Water","No advisory or closure","null","-","N","3"
"2017","MI972362","Twelve-Mile Beach","Pictured Rocks National Lakeshore","MI","ALGER","Inland","Still Water","No advisory or closure","null","-","N","3"
"2018","MI813385","Castle Park","Castle Park","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2017","MI813385","Castle Park","Castle Park","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2018","MI001149","Douglas Beach","Village of Douglas","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2017","MI001149","Douglas Beach","Village of Douglas","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI228808","Laketown Township Park","Laketown Township Park","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","N","2"
"2017","MI228808","Laketown Township Park","Laketown Township Park","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","N","2"
"2018","MI001148","Oval Beach","City of Saugatuck","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2017","MI001148","Oval Beach","City of Saugatuck","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI001150","Pier Cove Beach","Ganges Township","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2017","MI001150","Pier Cove Beach","Ganges Township","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI617585","Private Shoreline Beach-North County Border","Private stretch on northern county border","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2017","MI617585","Private Shoreline Beach-North County Border","Private stretch on northern county border","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2018","MI190994","Private Shoreline Beach-Saugatuck","Private Stretch at Saugatuck","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2017","MI190994","Private Shoreline Beach-Saugatuck","Private Stretch at Saugatuck","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2018","MI473859","Private Shoreline Beach-South of Castle Park","Private Stretch south of Castle Rock and north of Saugatuck Dunes State Park","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2017","MI473859","Private Shoreline Beach-South of Castle Park","Private Stretch south of Castle Rock and north of Saugatuck Dunes State Park","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2018","MI230862","Private Shoreline Beach-South of Douglas","Private stretch along I 196 south of Douglas","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2017","MI230862","Private Shoreline Beach-South of Douglas","Private stretch along I 196 south of Douglas","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2018","MI481150","Private Shoreline Beach-Southern County Border","Private Stretch of southern 11 miles of Allegan County","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2017","MI481150","Private Shoreline Beach-Southern County Border","Private Stretch of southern 11 miles of Allegan County","MI","ALLEGAN","Lake Michigan","Still Water","Historical","Private","Private","N","3"
"2018","MI344038","Saugatuck Dunes State Park Shoreline Beach","Shoreline of Saugatuck Dunes State Park","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2017","MI344038","Saugatuck Dunes State Park Shoreline Beach","Shoreline of Saugatuck Dunes State Park","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI001151","West Side County Park Beach","Ganges Township","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2017","MI001151","West Side County Park Beach","Ganges Township","MI","ALLEGAN","Lake Michigan","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI000398","3","Ossineke","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","2"
"2017","MI000398","3","Ossineke","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI000284","Bay View Park","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI000284","Bay View Park","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI000282","Blair Street Park","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","2"
"2017","MI000282","Blair Street Park","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI883481","Elcajon Bay","Elcajon Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI883481","Elcajon Bay","Elcajon Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI219728","Issineke Hardwood Point","Issineke Hardwood Point","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI219728","Issineke Hardwood Point","Issineke Hardwood Point","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI000285","Michekewis Beach","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI000285","Michekewis Beach","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI414483","Negwegon State Park-Ossineke South Point","Negwegon State Park","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI414483","Negwegon State Park-Ossineke South Point","Negwegon State Park","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI819576","Ossineke Campground","Ossineke Campground","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI819576","Ossineke Campground","Ossineke Campground","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI878872","Ossineke State Park","Ossineke State Park","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI878872","Ossineke State Park","Ossineke State Park","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI671369","Partridge Point","Partridge Point","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI671369","Partridge Point","Partridge Point","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI446885","Private Shoreline Beach-Bare Point","Private stretch in Thunder Bay near Bare Point","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI446885","Private Shoreline Beach-Bare Point","Private stretch in Thunder Bay near Bare Point","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI263795","Private Shoreline Beach-Gilchrist Wharf","Private stretch near Thunder Bay River","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI263795","Private Shoreline Beach-Gilchrist Wharf","Private stretch near Thunder Bay River","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI299875","Private Shoreline Beach-North of Ossineke Beach","rivate stretch north of Ossineke Beach","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI299875","Private Shoreline Beach-North of Ossineke Beach","rivate stretch north of Ossineke Beach","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI422144","Private Shoreline Beach-Rockport","Private stretch on Northern County Border; north of Rockport","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI422144","Private Shoreline Beach-Rockport","Private stretch on Northern County Border; north of Rockport","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI337088","Private Shoreline Beach-South of Rockport","Private stretch south of Rockport to Elcajon Bay","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI337088","Private Shoreline Beach-South of Rockport","Private stretch south of Rockport to Elcajon Bay","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI986215","Private Shoreline Beach-Thunder Bay","Private stretch on Thunder Bay south of Whitefish Point","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI986215","Private Shoreline Beach-Thunder Bay","Private stretch on Thunder Bay south of Whitefish Point","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI765231","Private Shoreline-Misery Bay","Stretch of non-beach south of El Cajon Bay to Thunder Bay","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI765231","Private Shoreline-Misery Bay","Stretch of non-beach south of El Cajon Bay to Thunder Bay","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI416352","Private Stretch Thunder Bay","Non beach shoreline in Thunder Bay south of Whitefish Bay","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI416352","Private Stretch Thunder Bay","Non beach shoreline in Thunder Bay south of Whitefish Bay","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI503426","Private Stretch-Squaw Bay","Private stretch of non beach in Squaw Bay","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2017","MI503426","Private Stretch-Squaw Bay","Private stretch of non beach in Squaw Bay","MI","ALPENA","Lake Huron","Still Water","Historical","Private","Private","N","3"
"2018","MI704463","Rock Port Beach","Rock Port Beach","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI704463","Rock Port Beach","Rock Port Beach","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI000283","Starlite Beach","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","1"
"2017","MI000283","Starlite Beach","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","1"
"2018","MI000286","Thompson Park","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","2"
"2017","MI000286","Thompson Park","Thunder Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","2"
"2018","MI683745","Whitefish Bay","Whitefish Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI683745","Whitefish Bay","Whitefish Bay","MI","ALPENA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","PR445257","BALNEARIO DE ANASCO","BALNEARIO DE ANASCO","PR","ANASCO","-","-","No advisory or closure","Public","Public","Y","1"
"2017","PR445257","BALNEARIO DE ANASCO","BALNEARIO DE ANASCO","PR","ANASCO","-","-","No advisory or closure","Public","Public","Y","1"
"2018","AK620995","Pt. Woronzof to Pt. Campbell","Anchorage, Pt. Campbell","AK","ANCHORAGE","Pacific Ocean","Open Coast","No advisory or closure","Public","Public","Y","4"
"2017","AK620995","Pt. Woronzof to Pt. Campbell","Anchorage, Pt. Campbell","AK","ANCHORAGE","Pacific Ocean","Open Coast","No advisory or closure","Public","Public","Y","4"
"2018","MD751497","Annapolis Sailing","Beach Monitoring and Public Notification","MD","ANNE ARUNDEL","Chesapeake Bay","Sound, Bay, or Inlet","No advisory or closure","Private","Private","Y","1"
"2017","MD751497","Annapolis Sailing","Beach Monitoring and Public Notification","MD","ANNE ARUNDEL","Chesapeake Bay","Sound, Bay, or Inlet","No advisory or closure","Private","Private","Y","1"
"2018","MD575256","Arundel on the Bay","Beach Monitoring and Public Notification","MD","ANNE ARUNDEL","Chesapeake Bay","Sound, Bay, or Inlet","Dormant","Private","Private","Y","2"
"2017","MD575256","Arundel on the Bay","Beach Monitoring and Public Notification","MD","ANNE ARUNDEL","Chesapeake Bay","Sound, Bay, or Inlet","No advisory or closure","Private","Private","Y","2"
"2018","MD701229","Atlantic Marina Resort ","Beach Monitoring and Public Notification","MD","ANNE ARUNDEL","Chesapeake Bay","Sound, Bay, or Inlet","No advisory or closure","Private","Private","Y","2"
