beach_id,beach_name,state,county,reasons,indicators,sources,no_of_beach_actions,no_of_days_under_action,closure,rain_advisory,contamination_advisory
CA108798,Coal Oil Point,CA,SANTA BARBARA,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, OTHER, UNKNOWN",5,33,1,3,1
CA114913,San Diego Bay Shelter Is,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",11,98,0,8,3
CA116523,Seabright Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",STORM,4,30,0,3,1
CA120855,Arroyo Burro,CA,SANTA BARBARA,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM, OTHER",10,75,1,3,6
CA121027,Sunset State Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,27,0,3,0
CA125649,Goleta Beach,CA,SANTA BARBARA,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM, OTHER, SEWER LINE",14,240,2,3,9
CA128038,Pismo State Beach,CA,SAN LUIS OBISPO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",25,93,0,11,14
CA131351,Newport Slough,CA,ORANGE,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",14,74,0,10,4
CA133077,Alamitos Bay Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM, OTHER",40,125,6,15,19
CA134387,north Imperial Beach,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN, OTHER",20,76,0,18,2
CA141759,Roosevelt State Beach,CA,SAN MATEO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,44,494,0,0,44
CA142294,New Brighton State Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,27,0,3,0
CA142708,Oxnard Beach Park,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",12,89,0,11,1
CA145203,Silverstrand Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",13,96,0,11,2
CA146170,Bolsa Chica State Beach,CA,ORANGE,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",19,88,0,16,3
CA148363,McNears Beach,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,11,142,0,0,11
CA149281,Paradise Cove,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN, COMBINED SEWER OVERFLOW, SEWER LINE",16,54,0,9,7
CA150395,Puerco Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",22,85,0,15,7
CA150836,Big River-Mendocino Bay Headlands SP,CA,MENDOCINO,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,1,2,0,1,0
CA152716,Cardiff State Beach,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",20,74,0,18,2
CA156348,San Buenaventura State Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",14,111,0,11,3
CA170635,Point Mugu Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,11,88,0,11,0
CA175181,Pleasure Point Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,27,0,3,0
CA180368,Emma Woods State Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",16,127,0,11,5
CA183338,Morro Strand State Beach,CA,SAN LUIS OBISPO,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",14,81,0,11,3
CA183895,Royal Palms State Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",17,73,0,15,2
CA185079,San Clemente City Beach,CA,ORANGE,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, SEWER LINE, STORM",71,594,1,16,54
CA187599,Heart's Desire,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,3,22,0,0,3
CA187747,San Simeon Beach,CA,SAN LUIS OBISPO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",13,78,0,11,2
CA192160,"Mission Bay, Mariners Basin",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",19,73,0,18,1
CA199513,Aquatic Park,CA,SAN FRANCISCO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","COMBINED SEWER OVERFLOW, UNKNOWN",18,26,0,0,18
CA202251,Cowell Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",10,161,0,3,7
CA204955,Coronado City beaches,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, OTHER, UNKNOWN",13,60,2,10,1
CA208354,Sunset County Beach,CA,ORANGE,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",17,92,0,16,1
CA208646,Mission Beach,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",20,75,0,18,2
CA209137,Oceanside Pier area,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,8,35,0,8,0
CA210598,Guadalupe Dunes,CA,SANTA BARBARA,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,19,0,3,0
CA210985,Hermosa Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",33,120,0,15,18
CA211999,"Mission Bay, Vacation Isle",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN, OTHER",29,101,0,18,11
CA212282,Del Monte Beach,CA,MONTEREY,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,7,7,0,0,7
CA217706,Rodeo Beach,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,1,7,0,0,1
CA217714,Pomponio State Beach,CA,SAN MATEO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,27,404,0,0,27
CA218180,East Beach,CA,SANTA BARBARA,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, OTHER, STORM",18,131,1,3,14
CA219377,Malibu Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",22,83,0,15,7
CA219578,Sewers,CA,SAN LUIS OBISPO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",13,79,0,11,2
CA219724,Shell Beach,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",3,21,0,0,3
CA225313,Sycamore Cove Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,11,88,0,11,0
CA227820,San Diego Bay Glorietta Bay,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",10,40,0,8,2
CA228730,Clam Beach Co. Park,CA,HUMBOLDT,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,12,56,0,0,12
CA246103,"Mission Bay, Leisure Lagoon",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN, OTHER",29,107,0,18,11
CA253340,Crissy Field,CA,SAN FRANCISCO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, COMBINED SEWER OVERFLOW",30,51,0,0,30
CA267269,Fletcher Cove,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,8,35,0,8,0
CA269065,Mandos Cove Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,11,88,0,11,0
CA273334,South Casa Beach S.D.,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN, OTHER",22,82,0,18,4
CA279462,Zuma Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",24,107,0,15,9
CA279698,Long Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","COMBINED SEWER OVERFLOW, UNKNOWN, OTHER, STORM",114,296,7,15,92
CA283387,"Moran Lake, County Beach",CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,27,0,3,0
CA287444,Twin Lakes State Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,27,0,3,0
CA290892,Hare Creek,CA,MENDOCINO,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,1,2,0,1,0
CA292952,China Camp,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,7,86,0,0,7
CA296453,Luffenholtz Beach,CA,HUMBOLDT,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,7,25,0,0,7
CA297539,Mission Bay Channel,CA,SAN FRANCISCO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, COMBINED SEWER OVERFLOW, SEWER LINE",8,23,0,0,8
CA298722,Aliso County Beach,CA,ORANGE,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM, SEWER LINE",26,112,2,16,8
CA308430,Aquatic Park,CA,SAN MATEO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, SEWER LINE",11,152,1,0,10
CA316627,"Dog Beach, O.B.",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM, OTHER",35,149,0,18,17
CA319620,Corcoran Lagoon Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,27,0,3,0
CA319787,Monarch Beach,CA,ORANGE,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",38,454,0,16,22
CA323807,Montara State Beach,CA,SAN MATEO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, SEWER LINE",35,364,1,0,34
CA326620,Moonlight Beach,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",27,99,0,18,9
CA331294,Escondido Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",8,45,0,6,2
CA333308,"Oceanside municipal beach, other",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",19,73,0,18,1
CA333380,Muir Beach,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,4,35,0,0,4
CA337598,Hope Ranch Beach,CA,SANTA BARBARA,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, OTHER, STORM",8,52,1,3,4
CA345310,Bayside Park,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, OTHER, UNKNOWN",12,55,0,8,4
CA351889,Bolinas Beach,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,6,50,0,0,6
CA359042,Miller Park,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",3,40,0,0,3
CA373657,"Mission Bay, Crown Point Shores",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",19,73,0,18,1
CA377016,"Mission Bay, Fanuel Park",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","OTHER, UNKNOWN, STORM",25,95,0,18,7
CA386604,Manresa State Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,27,0,3,0
CA389133,Dillon Beach,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",3,21,0,0,3
CA397227,"Mission Bay, Campland On The Bay",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM, OTHER",20,74,0,18,2
CA400333,Oyster Point Marina,CA,SAN MATEO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM",UNKNOWN,11,121,0,0,11
